gene,pmg,diapasef
CARD16,2.2074817820377313e-06,1.3903483863896443e-05
CASP1,8.563547755962322e-05,0.0002827069271818561
CAST,5.361916234671313e-05,1.2616961081362847e-05
CAT,0.0001684015901582911,0.0003561218576396725
CBFB,3.467767982152195e-05,2.2079499825250948e-05
CBR1,0.00010813047175048116,0.000152828244713622
CBX1,0.00018099824888669427,4.022554845990881e-05
CBX3,0.00017489053465090707,6.165776321023074e-05
CBX5,4.285413532829137e-05,6.196217945834092e-06
CCAR1,4.091429766337011e-05,4.747946721421856e-05
CCAR2,8.509946661400294e-05,0.00010735879865917402
CCDC124,5.668446239490648e-06,3.9011160675880746e-05
CCDC47,1.5591594792911186e-05,0.0005327320755355003
CCDC50,4.41839644316539e-05,2.5951958525941567e-06
CCDC6,5.236284905169748e-06,3.515738206314234e-05
CCDC88B,1.72683855881522e-05,1.3751457806975388e-05
CCS,5.38472179400557e-06,5.915543252002358e-06
CCT2,0.00010388634912824946,0.00020987060607600993
CCT3,0.006146218692480062,0.0007638080407128218
CCT4,7.854688336866723e-05,0.0002954905889311434
CCT5,8.011857988299727e-05,0.0001677748640152711
CCT6A,8.264766823240719e-05,0.00046964945493429454
CCT7,9.86603427850332e-05,0.0003558072456320562
CCT8,0.00014862439229020749,0.00017752492317723074
CD14,2.1568317589740606e-05,0.0019805481321126433
CD163,4.78457021275768e-06,0.0008471146785628788
CD2AP,3.906692690539743e-05,7.85495877719332e-05
CD300A,5.0246107699405205e-06,0.00012257269251358973
CD47,0.00015337601890889167,5.28799425440297e-05
CD74,0.0001518346361221978,0.00025120397235749034
CD81,5.185976162483439e-05,0.0004997888483028111
CD84,7.5162586544222685e-06,0.00013740752259494
CD9,4.347540614230303e-05,0.0005467257554575988
CD99,2.5347415584843143e-05,8.297236259196464e-05
CDC37,0.00010824831385725236,0.00010339301234557593
CDC42,0.00015039403142340707,0.0024884972293630014
CDC5L,5.747008982359205e-05,5.708605747455688e-05
CDC73,1.8437672386940735e-05,3.419082406196571e-05
CDH13,1.9665358280890676e-05,8.688097982547505e-06
CDH2,8.995909843446377e-06,6.639369350080613e-06
CDK11A,1.6574522430344175e-05,1.1039567845491435e-05
CDK11B,1.6574522430344175e-05,1.1039567845491435e-05
CDK5RAP3,1.056666281790962e-05,8.983155979968176e-05
CDS2,4.1714700524863785e-05,0.00024270641369961726
CDV3,0.00010778618007567262,6.537593822153824e-06
CELF2,5.238507242685859e-05,2.3166440615452972e-05
CEP170,1.9313919793473865e-05,3.125950679054013e-05
CERS2,3.4869619920813177e-06,0.0001802475550996229
CETN2,1.990481665390037e-05,7.019124978255386e-05
CFL1,0.0025794392502604784,0.0014004239815872625
CFL2,6.364597983358623e-06,5.971947650127081e-05
CHAMP1,1.9429914971144054e-05,2.119534540893954e-05
CHCHD2,5.6143231867044195e-05,6.851331907526712e-05
CHCHD2P9,5.6143231867044195e-05,6.851331907526712e-05
CHCHD3,8.707467698627186e-05,0.001420316636652166
CHCHD6,4.073986323990589e-05,0.00020653804925459322
CHD1L,2.3613189309623866e-06,1.9393135675959005e-05
CHD4,4.7554810794167136e-05,6.964978212592725e-05
CHERP,7.113306905340226e-06,1.5696663067028733e-05
CHID1,3.978245132950973e-06,0.00029006753727671165
CHMP1B,2.8972455602541554e-05,0.00019721511958908483
CHMP2A,1.7261319076809187e-05,9.786545415620682e-05
CHMP2B,8.321278838668476e-06,5.4635433850416296e-06
CHMP4A,4.9474613293405665e-05,2.331143888100019e-05
CHMP4B,9.725687742142591e-05,0.0002699931792120391
CHORDC1,9.017832088862758e-06,2.2716225006405808e-05
CHP1,1.3009146252735034e-05,0.00020740905842382712
CHTOP,9.104778283824612e-05,1.926255712742753e-05
CIRBP,0.00016946578267616869,3.0087540648742732e-06
CISD1,0.00013798686360570462,0.0003022409099927063
CISD2,3.0404568442530872e-05,0.0003205932771036551
CKAP4,2.828824867188122e-05,0.00018254378579409995
CKAP5,1.0845669564060587e-05,4.222027598042027e-05
CKB,0.0011378894055776307,1.2918318601621204e-05
CLASP2,1.479077034977489e-05,9.09010221450162e-06
CLCC1,9.239162451239676e-06,0.00044729889355988906
CLIC1,0.00023293429671352706,0.0006306477802207014
CLIC4,2.0441590461540647e-05,0.00012766693092395033
CLINT1,2.6754875936397192e-05,4.1682085532206336e-05
CLIP1,2.123787788318967e-06,2.656632586303666e-05
CLIP2,3.5302062309562487e-05,3.20446166859353e-05
CLNS1A,1.0749930380552602e-06,3.189594066428053e-05
CLTA,0.00021055051977505624,0.000290666538147694
CLTB,0.00015202755991198846,0.00018871039962393957
CLTC,0.00027131769924901885,0.0016795183326955526
