gene,pmg,pasef
DDX1,0.00029439829041679605,4.7548316062109935e-05
DDX17,0.00029026237374950417,0.00013425044375209647
DDX18,1.5039182313861239e-05,2.7004450202347516e-05
DDX19A,5.1255293850578686e-05,2.6865055355073933e-05
DDX19B,2.089298394889167e-05,2.6865055355073933e-05
DDX27,3.6297175663998903e-06,7.691074015465374e-06
DDX39B,0.00022131249534539804,0.00016916665202285617
DDX3X,4.972738160113244e-05,0.00010810730697448152
DDX3Y,4.972738160113244e-05,0.00010810730697448152
DDX41,6.866159686181746e-07,2.2931186033595248e-06
DDX5,0.00017153354025665145,3.9708456388607285e-05
DDX6,3.708392731039813e-05,4.774787079083843e-05
DECR1,7.824816266189456e-05,0.0012249138789893342
DEF6,2.3805972572200336e-05,5.97989221661851e-06
DEK,0.00014167431778182752,7.389394219681705e-05
DENND3,3.1687883037990694e-06,2.6790222331800746e-05
DENR,4.314538801739472e-05,2.8291284739809958e-05
DERA,1.3690924070121204e-05,7.817116303684328e-05
DFNA5,1.3138290762591789e-05,3.588903757331112e-05
DHRS7,0.00011750443995077853,0.0004341342469772093
DHX15,5.3795423623962056e-05,2.4931135263425703e-05
DHX9,0.0002545232918790725,0.00011549083193743591
DIABLO,6.626681237855736e-06,7.75504891379304e-05
DIAPH1,2.8478843724979316e-06,5.1802059875226945e-05
DIAPH2,5.3815900446603725e-06,3.4241243747119195e-05
DIP2B,2.2932836839696087e-05,1.171855798174463e-05
DKC1,0.0001018788174967128,1.1424508219706464e-05
DLAT,6.139937126004984e-05,0.0008971012176273227
DLD,7.995301874934446e-05,0.0018545383944113794
DLST,0.0002068899865981123,0.0007238701053208053
DNAJA1,4.254320882919897e-05,3.934309515733232e-05
DNAJA2,1.7908025316592415e-05,3.3714477955843234e-05
DNAJB1,5.3165058691659534e-05,4.419110121408933e-05
DNAJB11,2.1939951845370678e-05,0.0006578262939967637
DNAJC5,7.865067275401767e-06,0.00039912413059881263
DNAJC7,6.16087367339028e-06,1.1241387409814432e-05
DNAJC9,1.9989153057741226e-05,1.2876709065460828e-05
DNASE2,8.315196017824921e-05,0.0002526274826851865
DNM1L,4.500566720375818e-05,7.384992277136223e-05
DNM2,7.510778093068173e-05,0.00022075624480455454
DNPEP,3.460446514291981e-05,3.9120063401694585e-05
DNPH1,6.724829459321564e-05,2.781000568817064e-05
DOCK10,1.7933962625271865e-05,2.6978038547074625e-05
DOCK11,4.556735447894582e-06,0.00016830093665557813
DOCK2,1.8749241296155226e-05,0.0003987279557697193
DOCK4,6.250768932318861e-05,3.172039798274009e-06
DOCK8,1.2071066871950575e-05,3.522874619148889e-05
DOK3,3.951685489465744e-06,1.807290877756544e-05
DPP3,3.7617669745274786e-05,0.0002456430671796891
DPP7,0.0006813160851109177,0.0002933601243727091
DPY30,0.00013127048585455186,3.7074627432227486e-06
DPYD,1.576996397837322e-06,8.51775882550681e-06
DPYSL2,0.0008143813042440634,0.001222096635760226
DR1,8.527231508747825e-05,3.317890827947631e-06
DRAP1,5.836496712366584e-05,1.4254517082196555e-05
